,roomid,dust,temperature,humidity,co2
464,217,55.0,23.606655,68.48910500000001,630.0
465,218,52.0,23.059675,70.18283100000001,615.0
466,218,48.0,23.04895,70.373566,645.0
467,218,46.0,23.038225,69.870026,627.0
468,218,56.0,23.0704,69.236786,600.0
469,218,47.0,23.134751,70.648224,639.0
470,218,44.0,23.274176999999998,70.922882,628.0
471,218,50.0,23.252727,70.762665,628.0
472,218,53.0,23.0704,70.25149499999999,617.0
473,218,49.0,23.04895,69.969208,612.0
474,218,48.0,23.263451999999997,70.777924,633.0
475,218,50.0,23.038225,69.580109,625.0
476,218,49.0,23.242002,70.816071,633.0
477,218,48.0,23.231277,70.78555300000001,645.0
478,218,44.0,23.220551999999998,70.587189,661.0
479,218,49.0,23.102576000000003,70.800812,638.0
480,218,45.0,23.177651,70.625336,647.0
481,218,47.0,23.102576000000003,70.777924,633.0
482,218,49.0,23.081125,70.533783,625.0
483,218,49.0,23.059675,70.465118,624.0
484,218,45.0,23.177651,70.594818,643.0
485,218,57.0,23.059675,69.328339,615.0
486,218,45.0,23.209827,70.57193000000001,652.0
487,218,46.0,23.059675,69.69455,623.0
488,218,47.0,23.124026,70.732147,642.0
489,218,50.0,23.038225,70.144684,618.0
490,218,47.0,23.156201,70.625336,646.0
491,218,54.0,23.04895,69.427521,612.0
492,218,52.0,23.081125,70.816071,634.0
493,218,50.0,23.081125,70.57193000000001,627.0
494,218,50.0,23.0704,70.312531,620.0
495,218,45.0,23.274176999999998,70.861847,631.0
496,219,55.0,21.579612,7.0,600.0
497,219,54.0,21.601062,7.0,606.0
498,219,57.0,21.579612,7.0,600.0
499,219,56.0,21.579612,7.0,600.0
500,219,54.0,21.879915,7.0,605.0
501,219,55.0,21.601062,7.0,607.0
502,219,53.0,21.869189000000002,7.0,600.0
503,219,56.0,21.611787,7.0,600.0
504,219,57.0,21.611787,7.0,610.0
505,219,55.0,21.568887,7.0,600.0
506,219,57.0,21.601062,7.0,600.0
507,219,52.0,21.837014,7.0,612.0
508,219,49.0,21.901365,7.0,603.0
509,219,54.0,21.858464,7.0,600.0
510,219,52.0,21.869189000000002,7.0,619.0
511,219,50.0,21.879915,7.0,600.0
512,219,54.0,21.611787,7.0,614.0
